State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
NV,77,788,280-1424,yes,no,0,6.309812329328096,6,6.937131032056593,4.417012395141981,5,4.152909313163772,3.047401397594956,150,7.75478424000346,5.0477844555996345,5,0.0778934556662491,8,True.
AL,89,657,936-2194,yes,yes,500,5.7716622281661625,5,6.475730625015592,6.060755910496042,4,4.220063005801488,3.3344473741839864,200,6.11920338791732,3.2080715669941,5,3.24568460048902,6,True.
SC,40,836,298-4054,yes,yes,300,10.386676398376355,3,6.6555393194900585,7.73962356851781,1,8.17617943661859,3.821870580115472,200,6.654997357084792,4.710597711293906,5,7.09246539635958,4,True.
DE,148,686,508-4005,yes,no,0,6.590304660911912,4,5.31832414921425,5.165656621999053,3,5.50938059124879,4.659202271579446,150,4.774782503580699,5.507354956016561,7,5.505179908900937,4,True.
SC,62,836,728-7083,no,no,0,5.934785217087403,4,3.809479021563386,4.518271136834846,2,5.468453601209147,6.223327827426632,50,4.943481853424881,4.592027439074201,5,5.312074377907647,5,True.
MT,27,778,964-6697,yes,no,0,12.004232688593705,2,9.234313768884393,6.998698847687022,2,8.373916979401303,2.763944148707723,200,7.14908743120145,4.392207588209843,6,5.139778942113824,4,True.
PA,110,806,988-1010,yes,no,0,10.64905198303864,2,8.037270723515036,7.967304724872914,4,7.133641232295614,6.712219158949823,200,2.8839111327305127,5.395963232723341,8,11.25744454705462,0,True.
DE,140,686,629-2591,no,yes,100,10.970888020717744,4,9.286050448809563,5.011524247774934,5,7.057291894030383,3.8704654615373055,100,6.890218461990305,2.5337732137196984,6,2.856917709203638,6,True.
TX,135,848,656-8312,yes,no,0,10.24217497710733,2,4.301765904847752,5.488114182000285,2,8.987792719727958,5.342704784404821,100,6.030650234326744,5.025355162122184,6,6.720658289340264,4,True.
CO,20,677,130-5987,no,no,0,6.311824945962336,2,5.191386735128713,5.395388549518884,0,6.481465730493184,2.553928157076449,200,6.5037917540295584,5.357111878332907,3,4.561212124906211,7,True.
VT,145,868,397-7011,yes,yes,400,6.160870745414876,5,4.26510651030572,5.102558570524764,1,5.066562782605748,3.3763997922384794,200,7.790036175649472,3.009954812146936,6,0.504554875961988,8,True.
TN,128,847,879-7210,yes,no,0,6.040434520484999,4,2.302232722018624,3.994996690859186,0,7.186691707012687,5.81308130898636,150,5.464651006214115,4.0885358137255965,4,6.240594840758963,5,True.
